"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.638738083E0,1.072310120E1,5.673202515E-1,1.432371368E0
6.658847083E0,9.950557709E0,2.749781799E-1,-1.596729584E0
6.678956083E0,1.136107452E1,-2.139949951E0,-2.161205750E0
6.699065083E0,1.260483810E1,-5.733227692E0,-2.361040192E0
6.719174083E0,1.181493073E1,-5.775439911E0,-1.963466949E0
6.739283083E0,8.770262146E0,-1.814676361E0,-3.721261597E0
6.759392083E0,8.029602356E0,4.760101318E-2,-2.887495422E0
6.779501083E0,8.541238403E0,1.237925720E-1,-7.960446167E-1
6.799610083E0,9.736652527E0,-8.854087830E-1,7.225474548E-1
6.819719083E0,1.113294891E1,-2.414479065E0,1.368603973E0
6.839828083E0,1.102247864E1,-3.554658051E0,7.545808411E-1
6.859937083E0,9.336833954E0,-3.104244690E0,-6.062393188E-2
6.880046083E0,7.825876007E0,-2.465073853E0,-5.968089294E-1
6.900154083E0,7.219037933E0,-1.402134247E0,-8.689430237E-1
6.920263083E0,7.248825989E0,-4.328997803E-1,-6.813830566E-1
6.940372083E0,7.588469696E0,9.265731812E-2,-2.986289978E-1
6.960481083E0,8.674311676E0,3.957769775E-1,-6.212081909E-2
6.980590083E0,9.620344391E0,3.893403625E-1,-2.897973633E-1
7.000699083E0,1.002225861E1,2.535726929E-1,-5.944139099E-1
7.020808083E0,1.003034180E1,1.896556091E-1,-4.352947998E-1
7.040917083E0,9.564510498E0,-7.050338745E-2,-1.251397705E-1
7.061026083E0,9.300459595E0,-4.213737488E-1,3.579057312E-1
7.081135083E0,9.159901886E0,-4.897814941E-1,5.221142578E-1
7.101244083E0,9.237290955E0,-4.435276794E-1,4.778063965E-1
7.121353083E0,9.427245941E0,-1.547781372E-1,3.245251465E-1
7.141462083E0,9.592352600E0,-1.058299255E-1,-3.412902832E-2
7.161571083E0,9.928553467E0,-4.791535950E-1,-2.387535095E-1
7.181680083E0,1.033256332E1,-3.733236694E-1,-5.313949585E-2
7.201789083E0,1.067355423E1,7.484436035E-4,7.541317749E-1
7.221898083E0,1.102128113E1,-4.505630493E-2,1.351240082E0
7.242007083E0,1.126377686E1,-2.164498901E-1,1.356479187E0
7.262116083E0,1.051473450E1,-1.122665405E-2,9.924362183E-2
7.282225083E0,1.036324951E1,-4.068539429E-1,-1.455722809E0
7.302334083E0,1.190294769E1,-5.354365540E-1,-3.446433105E0
7.322443083E0,1.398811157E1,-9.232800293E-1,-3.781586151E0
7.342552083E0,1.251292923E1,-2.396217041E0,-3.780987396E0
7.362661083E0,9.910590820E0,-4.208947449E0,-2.046244812E0
7.382769083E0,8.725654907E0,-5.968238983E0,1.016386414E-1
7.402878083E0,8.986262970E0,-5.722749481E0,3.975732422E-1
7.422987333E0,1.009006760E1,-3.548520813E0,6.735992432E-3
7.443096333E0,1.092188782E1,-8.134085083E-1,1.749861145E-1
7.463205333E0,1.073043594E1,1.445094910E0,-5.553451538E-2
7.483314333E0,9.995763702E0,1.947300568E0,-6.177653503E-1
7.503423333E0,9.333391113E0,6.644682312E-1,-1.066083069E0
7.523532333E0,8.483308868E0,-1.338666229E0,-7.158114624E-1
7.543641333E0,7.601941681E0,-2.546953583E0,-2.278262329E-1
7.563750333E0,7.136559448E0,-3.350632324E0,3.219804382E-1
7.583859333E0,6.917864227E0,-3.484603729E0,7.723937988E-1
7.603968333E0,7.039261780E0,-3.362158356E0,9.532177734E-1
7.624077333E0,7.419321442E0,-3.259920959E0,7.731422424E-1
7.644186333E0,7.951464844E0,-2.898572388E0,7.006929016E-1
7.664295333E0,8.472231903E0,-2.211201782E0,9.231303406E-1
7.684404333E0,8.653205566E0,-1.493294678E0,7.439529419E-1
7.704513333E0,9.036708069E0,-1.005459137E0,5.014572144E-1
7.724622333E0,9.569899292E0,-6.152206421E-1,7.300318909E-1
7.744731333E0,1.035905823E1,-4.577481079E-1,1.221759338E0
7.764840333E0,1.075618240E1,-6.544390869E-1,1.102457428E0
7.784949333E0,1.037387741E1,-8.773255920E-1,3.791615295E-1
7.805058333E0,1.032747391E1,-1.295106812E0,1.323697357E0
7.825167333E0,1.134490814E1,-1.349743195E0,2.813100128E0
7.845276333E0,1.181403259E1,-1.217568054E0,3.066822510E0
7.865385333E0,1.147453857E1,-6.170169067E-1,2.484533386E0
7.885494333E0,1.054991135E1,-1.862127686E-1,9.256750488E-1
7.905603333E0,1.064705933E1,-1.179696808E0,1.758842468E-1
7.925712333E0,1.145013931E1,-3.229085083E0,-3.011737061E-1
7.945821333E0,1.137873779E1,-5.859115906E0,-7.717950439E-1
7.965930333E0,9.453890533E0,-5.906118164E0,-1.416354675E0
7.986039333E0,7.617209930E0,-3.675905914E0,-2.539768524E0
8.006148333E0,7.300468597E0,-6.400689697E-1,-2.498753815E0
8.026257333E0,8.291108551E0,1.182241516E0,-1.093476105E0
8.046366333E0,9.580676880E0,1.278341675E-1,-7.469467163E-2
