"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.791231000E0,2.437979430E-1,-4.447923601E-1,-2.305240631E-1
4.811340000E0,1.572065502E-1,-6.205729246E-1,-2.157099396E-1
4.831449000E0,-7.901527733E-2,-4.882687032E-1,-2.568881512E-1
4.851558000E0,-2.440461665E-1,-6.451031566E-2,-1.947014481E-1
4.871667000E0,-3.283753097E-1,4.380814135E-1,2.480925992E-3
4.891776000E0,-2.122603655E-1,8.452266455E-1,1.755593270E-1
4.911885000E0,-1.427666098E-1,9.271997809E-1,2.463308722E-1
4.931994000E0,-3.564694524E-1,9.779282808E-1,2.279512882E-1
4.952103000E0,-7.426728010E-1,9.782916903E-1,1.904590130E-1
4.972212000E0,-1.073322177E0,6.793485284E-1,2.240750343E-1
4.992320000E0,-1.224094748E0,3.492224216E-1,4.379348457E-1
5.012429000E0,-1.261659861E0,4.363726974E-1,5.213297009E-1
5.032538000E0,-1.380819201E0,6.495183706E-1,4.217036664E-1
5.052647000E0,-1.529397011E0,8.700816631E-1,2.995162308E-1
5.072756000E0,-1.562387347E0,1.020642161E0,1.986322254E-1
5.092865000E0,-1.484295130E0,8.818698525E-1,1.238725856E-1
5.112974000E0,-1.355878949E0,6.305797696E-1,4.614898190E-2
5.133083000E0,-1.244242311E0,3.857643306E-1,-2.653283440E-2
5.153192000E0,-1.174434066E0,3.058792949E-1,-8.926971257E-2
5.173301000E0,-1.060682178E0,3.482805789E-1,-1.667257994E-1
5.193410000E0,-1.006472826E0,1.130433604E-1,-1.733374298E-1
5.213519000E0,-9.534865022E-1,-3.305864707E-2,-1.454734504E-1
5.233627000E0,-9.006772041E-1,5.080879480E-2,-1.084143221E-1
5.253736000E0,-8.768277764E-1,2.598225474E-1,-4.043627158E-2
5.273845000E0,-8.565351963E-1,4.524958432E-1,-3.919746354E-2
5.293954000E0,-8.794097304E-1,5.745208263E-1,-7.190379500E-2
5.314063000E0,-1.008569002E0,5.610100031E-1,-1.370137781E-1
5.334172000E0,-1.241713762E0,5.307391882E-1,-1.894927174E-1
5.354281000E0,-1.444556355E0,5.737251043E-1,-1.795201898E-1
5.374390000E0,-1.568127275E0,6.925822496E-1,-1.829928011E-1
5.394499000E0,-1.698038459E0,7.948100567E-1,-3.453214467E-1
5.414607333E0,-1.875017762E0,6.539658904E-1,-4.304631650E-1
5.434716333E0,-1.935250282E0,2.715069652E-1,-2.510188818E-1
5.454825333E0,-1.925960541E0,-1.742596775E-1,4.418190718E-1
5.474933333E0,-1.611171484E0,-5.403362513E-1,7.744591832E-1
5.495042333E0,-1.533601522E0,3.162728548E-1,4.292919040E-1
5.515151333E0,-1.579491496E0,1.280161262E0,5.040033162E-2
5.535260333E0,-1.770819426E0,1.319797158E0,-3.226121366E-1
5.555369333E0,-2.030259371E0,2.600190341E-1,-5.948095918E-1
5.575478333E0,-2.063815832E0,-5.478657484E-1,-5.842333436E-1
5.595587333E0,-1.697157383E0,-6.669467688E-1,-4.289854765E-1
5.615696333E0,-1.218759894E0,-4.536954165E-1,-3.581738770E-1
5.635805333E0,-8.377435207E-1,-3.496823311E-1,-2.980474532E-1
5.655914333E0,-6.172406077E-1,-2.640790045E-1,-3.026868999E-1
5.676023333E0,-5.779526234E-1,-2.105188966E-1,-3.669705987E-1
5.696132333E0,-7.325106859E-1,-3.082695007E-1,-3.886593580E-1
5.716241333E0,-8.307493329E-1,-4.043715298E-1,-2.948899865E-1
5.736349333E0,-8.166141510E-1,-4.478037357E-1,-1.027005240E-1
5.756458333E0,-8.255641460E-1,-4.301450551E-1,7.449979335E-2
5.776567333E0,-8.638868928E-1,-3.294158280E-1,1.502535790E-1
5.796676333E0,-9.130109549E-1,-1.168084070E-1,1.513829827E-1
5.816785333E0,-9.123291969E-1,3.095539287E-2,1.450901479E-1
5.836894333E0,-8.485696316E-1,4.662112892E-2,1.279166043E-1
5.857003333E0,-7.600066662E-1,-3.673003241E-2,1.304087937E-1
5.877112333E0,-6.751213074E-1,-1.174248233E-1,1.319259107E-1
5.897221333E0,-6.171229482E-1,-1.183264330E-1,1.375304759E-1
5.917330333E0,-5.914750695E-1,-9.622383118E-2,1.335403770E-1
5.937439333E0,-5.311276317E-1,-5.741159618E-2,1.256455034E-1
5.957548333E0,-4.105138481E-1,1.417913884E-1,5.981262773E-2
5.977657333E0,-2.532411218E-1,2.318609208E-1,-6.943092495E-2
5.997766333E0,-2.427920252E-1,-1.427301466E-1,-2.631989121E-1
6.017875333E0,-3.725159168E-1,-4.639096558E-1,-3.356384039E-1
6.037984333E0,-5.377507806E-1,-4.049094021E-1,-3.515974283E-1
6.058092333E0,-6.893745661E-1,-1.173493546E-2,-2.583903670E-1
6.078201333E0,-8.284341097E-1,2.390961945E-1,-1.181907430E-1
6.098310333E0,-8.041809797E-1,4.790110588E-1,7.063430548E-2
6.118419333E0,-6.048864126E-1,6.776931882E-1,1.838743389E-1
6.138528333E0,-4.534463286E-1,7.644203305E-1,1.890376359E-1
6.158637333E0,-6.095697880E-1,7.979814410E-1,1.881963760E-1
6.178746333E0,-9.176462889E-1,7.646495700E-1,1.050804928E-1
6.198855333E0,-1.274120212E0,5.471367240E-1,9.307057410E-2
6.218964333E0,-1.555547476E0,3.214227557E-1,2.508341372E-1
6.239073333E0,-1.645526171E0,4.379808903E-1,3.816399276E-1
6.259182333E0,-1.689390302E0,6.055788398E-1,3.723168671E-1
6.279291333E0,-1.708484530E0,7.600942254E-1,3.165017366E-1
6.299400333E0,-1.645279169E0,8.307915330E-1,2.972204387E-1
6.319509333E0,-1.472169161E0,7.218663692E-1,2.822979391E-1
6.339618333E0,-1.275187850E0,4.818099737E-1,2.003498673E-1
6.359727333E0,-1.093166828E0,3.677705228E-1,7.553921640E-2
6.379835333E0,-9.662964344E-1,4.033954442E-1,-6.889841706E-2
6.399944333E0,-8.667953014E-1,4.056512117E-1,-1.997664422E-1
6.420053083E0,-7.759920955E-1,2.115731686E-1,-2.653471529E-1
6.440162083E0,-7.347353697E-1,-4.933964461E-2,-2.384418249E-1
6.460271083E0,-6.604942679E-1,-1.946182102E-1,-1.958126426E-1
6.480380083E0,-5.940161943E-1,-1.826737374E-1,-1.284784973E-1
6.500489083E0,-5.751864910E-1,6.038429216E-3,-8.510473371E-2
6.520598083E0,-5.898548961E-1,2.126854509E-1,-7.702797651E-2
6.540707083E0,-6.500069499E-1,3.496969938E-1,-9.958712757E-2
6.560816083E0,-6.984081268E-1,3.417680860E-1,-1.803241819E-1
6.580925083E0,-7.905163169E-1,4.839357138E-1,-2.374559194E-1
6.601034083E0,-8.714970350E-1,6.138465405E-1,-2.164256573E-1
6.621143083E0,-9.274840951E-1,6.869571209E-1,-1.943029314E-1
6.641252083E0,-8.029035926E-1,5.647664070E-1,-1.965073347E-1
6.661361083E0,-1.117484450E0,2.982079051E-3,4.022431746E-2
6.681470083E0,-1.188559532E0,-1.204149872E-1,5.297379494E-1
6.701579083E0,-9.208262563E-1,-7.397119701E-2,8.662776947E-1
6.721688083E0,-8.548882604E-1,4.581521451E-1,4.984967709E-1
6.741797083E0,-1.025353551E0,9.527035952E-1,8.074700832E-2
6.761905083E0,-1.378517151E0,8.266071081E-1,-3.345019817E-1
6.782014083E0,-1.665377498E0,2.442359179E-1,-6.456908584E-1
6.802123083E0,-1.612372875E0,-1.527550817E-1,-6.141413450E-1
6.822232083E0,-1.184069276E0,-3.501496315E-1,-3.382734060E-1
6.842341083E0,-7.613607645E-1,-2.676486671E-1,-3.129917383E-1
6.862450083E0,-4.934290051E-1,-2.016072124E-1,-3.567306399E-1
6.882559083E0,-4.044854939E-1,-2.432766110E-1,-4.438697696E-1
6.902668083E0,-4.710406065E-1,-2.435571849E-1,-4.597601593E-1
6.922777083E0,-5.569281578E-1,-2.104764879E-1,-3.806873560E-1
6.942886083E0,-5.777407289E-1,-2.950922847E-1,-2.090267539E-1
6.962995083E0,-5.649530292E-1,-3.721159101E-1,-3.246740624E-2
6.983104083E0,-5.565109253E-1,-3.403542638E-1,7.112231106E-2
7.003213083E0,-6.059553623E-1,-2.331904918E-1,1.442223936E-1
7.023322083E0,-6.572012305E-1,-9.918421507E-2,1.652926803E-1
7.043431083E0,-6.787769794E-1,-1.912779175E-3,1.764958352E-1
7.063540083E0,-6.622484326E-1,4.331979528E-2,1.583619863E-1
7.083649083E0,-6.080940962E-1,-1.364609413E-2,1.682127565E-1
7.103758083E0,-5.390527248E-1,-8.276446164E-2,1.653130502E-1
7.123867083E0,-4.625047147E-1,-1.635241956E-1,1.427793056E-1
7.143976083E0,-4.137419462E-1,-2.481183112E-1,1.169500276E-1
7.164085083E0,-3.589471877E-1,-2.597568333E-1,8.644526452E-2
7.184193083E0,-2.311899811E-1,-1.089014336E-1,1.130026882E-3
7.204302083E0,-5.039997399E-2,2.134046145E-2,-1.215122640E-1
7.224411083E0,1.200738624E-1,7.265914977E-2,-2.728983462E-1
7.244520083E0,2.280541658E-1,1.199742928E-1,-4.197205007E-1
7.264629083E0,1.659569144E-1,-5.458543822E-2,-4.355245829E-1
7.284738083E0,7.420022786E-2,-4.203231633E-1,-4.088626504E-1
7.304847083E0,-1.555389017E-1,-5.831856728E-1,-4.018206298E-1
7.324956083E0,-3.097150326E-1,-4.590392709E-1,-4.189415276E-1
7.345065083E0,-3.610724509E-1,-1.760266423E-1,-3.431277573E-1
7.365174083E0,-2.847715616E-1,1.838163137E-1,-1.703767180E-1
7.385283083E0,4.811216611E-3,6.450313926E-1,-4.171647131E-2
7.405392083E0,2.640601993E-1,8.448718190E-1,6.721365452E-2
7.425501333E0,3.002859950E-1,9.462867975E-1,1.740304232E-1
7.445610333E0,1.661379486E-1,9.128270149E-1,1.132618338E-1
7.465719333E0,-1.580441892E-1,5.333796144E-1,8.417420089E-2
7.485828333E0,-5.307434797E-1,1.157863587E-1,1.996395439E-1
7.505937333E0,-7.368925810E-1,-2.220881172E-3,3.317156136E-1
7.526046333E0,-7.424567342E-1,-1.293602027E-2,3.314493299E-1
7.546155333E0,-7.033488750E-1,6.229968369E-2,3.426904082E-1
7.566264333E0,-6.221343875E-1,1.610720903E-1,2.735537291E-1
7.586373333E0,-5.110882521E-1,1.350874007E-1,1.794889271E-1
7.606482333E0,-3.325736523E-1,-2.746493556E-2,8.479533345E-2
7.626591333E0,-1.505172700E-1,-1.947454214E-1,-1.650363393E-2
